path,width,height,mode,bytes,sha256
art/tactical-sprites/icons/afei_figure_C06_dead.png,114,142,RGBA,24264,ff9497320f226a1e0b3958cb7542af488c588f0b9830ea39e1c4c61f463baafb
art/tactical-sprites/icons/afei_figure_C06_injured.png,114,142,RGBA,143,b178448dfe0d8cb67e58b2ec2a385cc62f886ef86713460956fc6f50b39af964
art/tactical-sprites/icons/afei_hair_C01.png,140,140,RGBA,6645,2ec32c6879384471831991a5355ef013dbb0abe025a3e5753a15ba25b22f9590
art/tactical-sprites/icons/afei_hair_C01_dead.png,140,140,RGBA,5335,a58749ad30adc6eb13a6a4148f98c457e6b2dd09e3b38da753872d916fa50712
art/tactical-sprites/icons/afei_hair_C02.png,140,140,RGBA,7188,efc4bf513ff20c7da6409a46175fb3d2d43b3a163127adc4b07748923ecd2473
art/tactical-sprites/icons/afei_hair_C02_dead.png,140,140,RGBA,5767,0a6bd5678b8037dfd6d3dfb4afe9367e62098b4bdec15cae0ddefae7bbc6d4c0
art/tactical-sprites/icons/afei_hair_C03.png,140,140,RGBA,7192,37eb4c0e045d66429e405090e9768d9d03be1ec3362dbd0d9454ba73f5d19424
art/tactical-sprites/icons/afei_hair_C03_dead.png,140,140,RGBA,5520,b351c2b7e458d589d2e7aa5512e1f4d7fec3ac000b6216b84ded9872ac5ceb3b
art/tactical-sprites/icons/afei_hair_C04.png,140,140,RGBA,156,399c867adb3d42bbb824395cbb2869c05618d9fbb6a4be710604841fd3d76741
art/tactical-sprites/icons/afei_hair_C04_dead.png,140,140,RGBA,156,399c867adb3d42bbb824395cbb2869c05618d9fbb6a4be710604841fd3d76741
art/tactical-sprites/icons/afei_hair_C05.png,140,140,RGBA,10240,eed98ec9af37210414a321c1d7fba025d0bcdde181845bb7f0777820fd4a5c0a
art/tactical-sprites/icons/afei_hair_C05_dead.png,140,140,RGBA,7827,fe8173cec38739140272189bc4641a39117ccce5aaf054501b60c7b150063376
art/tactical-sprites/icons/afei_hair_C06.png,140,140,RGBA,18741,e713f7e1894822219afa7d456aebf66e3f309f9262830c1071a4897e3458b45f
art/tactical-sprites/icons/afei_hair_C06_dead.png,140,140,RGBA,14149,e82450fc179a19d5f6c18d5e85c7710ef5b2c4183f1c2452ed9e805dc5a91797
art/tactical-sprites/icons/afei_hair_C07.png,140,100,RGBA,134,dda2058f4d34184cbeda7d785828dad3fe70a9c44c7523901f80f71f32bad2fa
art/tactical-sprites/icons/afei_hair_C07_dead.png,140,100,RGBA,134,dda2058f4d34184cbeda7d785828dad3fe70a9c44c7523901f80f71f32bad2fa
art/tactical-sprites/icons/afei_hair_C08.png,140,100,RGBA,134,dda2058f4d34184cbeda7d785828dad3fe70a9c44c7523901f80f71f32bad2fa
art/tactical-sprites/icons/afei_hair_C08_dead.png,140,100,RGBA,134,dda2058f4d34184cbeda7d785828dad3fe70a9c44c7523901f80f71f32bad2fa
art/tactical-sprites/icons/afei_hair_C09.png,140,100,RGBA,134,dda2058f4d34184cbeda7d785828dad3fe70a9c44c7523901f80f71f32bad2fa
art/tactical-sprites/icons/afei_hair_C09_dead.png,140,100,RGBA,134,dda2058f4d34184cbeda7d785828dad3fe70a9c44c7523901f80f71f32bad2fa
art/tactical-sprites/icons/afei_hair_C10.png,140,100,RGBA,134,dda2058f4d34184cbeda7d785828dad3fe70a9c44c7523901f80f71f32bad2fa
art/tactical-sprites/icons/afei_hair_C10_dead.png,140,100,RGBA,134,dda2058f4d34184cbeda7d785828dad3fe70a9c44c7523901f80f71f32bad2fa
art/tactical-sprites/icons/afei_hair_C11.png,140,100,RGBA,134,dda2058f4d34184cbeda7d785828dad3fe70a9c44c7523901f80f71f32bad2fa
art/tactical-sprites/icons/afei_hair_C11_dead.png,140,100,RGBA,134,dda2058f4d34184cbeda7d785828dad3fe70a9c44c7523901f80f71f32bad2fa
art/tactical-sprites/icons/afei_hair_C12.png,140,100,RGBA,134,dda2058f4d34184cbeda7d785828dad3fe70a9c44c7523901f80f71f32bad2fa
art/tactical-sprites/icons/afei_hair_C12_dead.png,140,100,RGBA,134,dda2058f4d34184cbeda7d785828dad3fe70a9c44c7523901f80f71f32bad2fa
art/tactical-sprites/icons/afei_hair_C13.png,140,100,RGBA,134,dda2058f4d34184cbeda7d785828dad3fe70a9c44c7523901f80f71f32bad2fa
art/tactical-sprites/icons/afei_hair_C13_dead.png,140,100,RGBA,134,dda2058f4d34184cbeda7d785828dad3fe70a9c44c7523901f80f71f32bad2fa
art/tactical-sprites/icons/afei_hair_C14.png,140,100,RGBA,134,dda2058f4d34184cbeda7d785828dad3fe70a9c44c7523901f80f71f32bad2fa
art/tactical-sprites/icons/afei_hair_C14_dead.png,140,100,RGBA,134,dda2058f4d34184cbeda7d785828dad3fe70a9c44c7523901f80f71f32bad2fa
art/tactical-sprites/icons/afei_hair_C15.png,140,100,RGBA,134,dda2058f4d34184cbeda7d785828dad3fe70a9c44c7523901f80f71f32bad2fa
art/tactical-sprites/icons/afei_hair_C15_dead.png,140,100,RGBA,134,dda2058f4d34184cbeda7d785828dad3fe70a9c44c7523901f80f71f32bad2fa
art/tactical-sprites/icons/afei_hair_C16.png,140,100,RGBA,134,dda2058f4d34184cbeda7d785828dad3fe70a9c44c7523901f80f71f32bad2fa
art/tactical-sprites/icons/afei_hair_C16_dead.png,140,100,RGBA,134,dda2058f4d34184cbeda7d785828dad3fe70a9c44c7523901f80f71f32bad2fa
art/tactical-sprites/icons/afei_hair_C17.png,140,100,RGBA,134,dda2058f4d34184cbeda7d785828dad3fe70a9c44c7523901f80f71f32bad2fa
art/tactical-sprites/icons/afei_hair_C17_dead.png,140,100,RGBA,134,dda2058f4d34184cbeda7d785828dad3fe70a9c44c7523901f80f71f32bad2fa
art/tactical-sprites/icons/afei_hair_C18.png,140,100,RGBA,134,dda2058f4d34184cbeda7d785828dad3fe70a9c44c7523901f80f71f32bad2fa
art/tactical-sprites/icons/afei_hair_C18_dead.png,140,100,RGBA,134,dda2058f4d34184cbeda7d785828dad3fe70a9c44c7523901f80f71f32bad2fa
art/tactical-sprites/icons/afei_hair_C19.png,140,100,RGBA,134,dda2058f4d34184cbeda7d785828dad3fe70a9c44c7523901f80f71f32bad2fa
